ticker,year,marketcap,eps,earnings_rate,price,price_rate,pe_ratio,roe,sh_equity,sh_return,real_change
BAC,2019,316808,2.77,3.944,33.74,0.2011,12.19,9.7,264810,9.66,-11.2
BAC,2018,241822,2.64,4.017,23.95,0.1352,9.06,10.1,265325,7.22,40.86
BAC,2017,307912,1.63,3.7427,30.2,0.1688,18.53,6.2,267146,3.73,-20.69
BAC,2016,223322,1.57,3.6475,21.72,0.0556,13.84,6.1,266195,2.79,39.07
BAC,2015,175242,1.38,3.6011,16.75,-0.0016,12.15,5.7,256176,-4.96,29.64
BAC,2014,188139,0.43,3.3856,17.87,0.0215,42.03,1.9,243471,8.59,-6.27
BAC,2013,166072,0.94,3.4674,15.48,-0.0051,16.47,4.3,232685,-5.7,15.47
BAC,2012,125133,0.26,3.2054,11.64,-0.0132,45.34,1.2,236956,-5.41,32.9
BAC,2011,56355,0.01,-0.2731,5.56,-0.1156,663.01,0.0,230101,-4.04,109.58
BAC,2010,134536,-0.37,-0.1192,13.74,-0.038,-37.42,-1.6,228248,-26.38,-59.57
BAC,2009,130280,-0.29,-0.2,16.86,0.0236,-59.11,-0.9,231444,-67.84,-18.47
BAC,2008,70648,0.54,0.0018,15.39,0.0033,27.64,1.6,177052,12.92,9.56
BAC,2007,183125,3.32,0.1528,41.39,0.0539,12.37,10.6,146803,8.69,-62.83
BAC,2006,239758,4.66,0.1637,52.96,0.2345,11.36,16.0,135272,-8.97,-21.84
KO,2024,256767,2.48,0.4278,59.48,0.0402,23.95,41.3,25941,3.49,
KO,2023,275304,2.48,0.4317,63.68,0.0496,28.85,44.45,24105,3.02,-6.6
KO,2022,255491,2.2,0.3989,59.03,0.0558,26.15,41.49,22999,2.61,7.88
KO,2021,235538,2.26,0.3961,54.59,0.052,30.4,50.63,19299,2.6,8.15
KO,2020,236677,1.8,0.3729,55.11,0.0584,26.53,40.81,18981,2.68,-0.94
KO,2019,201664,2.09,0.357,47.16,0.059,31.34,52.53,16981,2.95,16.84
KO,2018,195999,1.51,0.3953,46.02,0.0852,157.05,37.69,17072,3.8,2.48
KO,2017,178983,0.29,-0.047,41.9,0.0453,27.42,5.41,23062,4.36,9.84
KO,2016,186962,1.51,0.0396,43.31,0.0768,25.43,25.54,25554,3.93,-3.26
KO,2015,185219,1.69,0.0718,42.56,0.0963,26.09,24.24,30320,3.9,1.76
KO,2014,183169,1.62,0.0726,41.75,0.0911,21.34,21.4,33173,4.02,1.93
KO,2013,163270,1.94,0.0924,36.82,0.0563,18.1,26.18,32790,4.45,13.39
KO,2012,158365,2.0,0.1105,35.16,0.0694,18.47,28.51,31635,4.05,4.72
KO,2011,151774,1.89,0.152,33.53,0.0566,12.85,27.65,31003,3.11,4.85
KO,2010,131898,2.56,0.1567,28.57,0.0128,19.33,47.62,24799,2.71,17.36
KO,2009,104868,1.48,0.167,22.66,-0.0112,18.06,33.33,20472,3.66,26.1
KO,2008,141926,1.25,0.1359,30.64,0.003,23.73,26.71,21744,2.0,-26.05
KO,2007,113314,1.3,0.1045,24.5,-0.0248,22.31,35.35,16920,3.38,25.09
KO,2006,96445,1.08,0.0688,20.54,-0.0169,19.8,31.06,16355,4.57,19.27
KO,2005,101019,1.02,0.0843,21.12,0.0316,20.84,30.57,15935,3.89,-2.74
KO,2004,124819,1.0,0.1026,25.73,0.0991,28.71,34.4,14090,3.08,-17.92
KO,2003,108636,0.89,0.1086,22.09,0.1002,35.62,36.84,11800,2.67,16.46
KO,2002,117287,0.62,0.0806,23.67,0.1131,29.55,26.83,11366,1.69,-6.66
KO,2001,150948,0.8,0.1405,30.35,0.1443,69.34,42.6,9316,0.71,-22.02
NFLX,2024,252710,12.25,0.6265,571.74,0.2588,48.54,24.8,20588,0.4,
NFLX,2023,213097,12.25,0.5664,482.12,0.3879,39.4,24.8,20588,0.4,18.59
NFLX,2022,131228,10.1,0.6964,294.89,0.3076,29.21,23.1,20777,0.9,63.49
NFLX,2021,266852,11.55,1.3271,602.37,0.7037,52.16,35.3,15849,-0.26,-51.04
NFLX,2020,238892,6.26,1.1296,541.71,0.7295,86.51,28.2,11065,-0.54,11.2
NFLX,2019,141805,4.26,1.1215,323.76,0.5874,75.96,28.4,7582,-0.12,67.32
NFLX,2018,116723,2.78,1.1045,268.33,0.8181,96.37,25.8,5239,-0.99,20.66
NFLX,2017,83067,1.29,1.0188,192.28,0.8686,148.62,17.2,3582,-1.86,39.55
NFLX,2016,53128,0.44,0.8246,123.84,0.8186,284.6,7.5,2680,-0.5,55.27
NFLX,2015,48885,0.29,0.807,114.75,0.8011,398.6,5.9,2223,-1.06,7.92
NFLX,2014,20581,0.63,0.885,48.89,0.6548,77.14,16.0,1858,-1.54,134.74
NFLX,2013,21817,0.28,0.8375,53.6,0.799,194.1,10.1,1334,-3.15,-8.8
NFLX,2012,5143,0.04,0.478,13.22,0.3973,299.85,2.4,744,-8.34,305.45
ADBE,2024,247090,11.87,0.3112,540.68,0.2873,46.25,35.4,16518,2.55,
ADBE,2023,278858,11.87,0.4608,610.19,0.3276,51.37,35.4,16518,2.55,-11.39
ADBE,2022,158777,10.13,0.4368,337.82,0.2716,33.39,33.9,14051,2.08,80.62
ADBE,2021,293345,10.1,0.3659,614.98,0.3924,60.84,34.1,14797,0.82,-45.07
ADBE,2020,228840,10.94,0.3751,475.76,0.3924,43.51,45.4,13264,1.42,29.26
ADBE,2019,149837,6.07,0.2965,308.31,0.3251,50.78,29.1,10530,1.2,54.31
ADBE,2018,122468,5.28,0.3927,249.43,0.2775,47.27,29.1,9362,0.62,23.61
ADBE,2017,88493,3.43,0.272,179.14,0.2951,52.24,21.2,8460,0.63,39.24
ADBE,2016,49588,2.35,0.2448,99.57,0.1564,42.43,16.1,7425,0.56,79.9
ADBE,2015,45974,1.26,0.1975,92.13,0.1553,73.03,9.3,7002,0.26,8.08
ADBE,2014,36747,0.54,0.0301,73.79,0.1384,136.91,4.0,6776,0.97,24.86
ADBE,2013,28384,0.58,0.076,56.65,0.1183,97.88,4.3,6725,-2.14,30.24
ADBE,2012,17134,1.68,0.2252,34.61,0.1055,20.57,13.2,6665,0.24,63.67
ADBE,2011,13308,1.67,0.2687,26.78,0.1178,15.98,15.0,5783,4.17,29.27
ADBE,2010,14824,1.49,0.2527,28.56,0.1162,19.14,15.0,5192,0.9,-6.25
ADBE,2009,18531,0.74,0.1094,35.36,0.0787,47.94,8.1,4891,3.27,-19.23
ADBE,2008,12297,1.62,0.1946,22.81,0.1335,14.11,21.0,4410,8.39,55.01
ADBE,2007,24179,1.24,0.312,41.4,0.3901,33.41,14.7,4650,2.2,-44.9
ADBE,2006,22955,0.85,0.2155,38.64,0.3922,45.38,10.2,5152,-20.5,7.14
ACN,2024,231661,10.92,0.1033,368.89,0.1404,34.24,27.1,26677,1.6,
ACN,2023,215193,10.9,0.1074,341.03,0.1527,31.32,28.1,25693,2.06,8.17
ACN,2022,191737,10.87,0.096,302.9,0.1567,27.88,32.6,22106,1.78,12.59
ACN,2021,224468,9.31,0.1094,353.49,0.2248,38.0,31.5,19529,1.29,-14.31
ACN,2020,159383,8.03,0.1055,250.6,0.1945,31.2,32.1,17001,1.67,41.06
ACN,2019,133296,7.49,0.1288,208.93,0.2235,27.89,35.3,14409,2.28,19.95
ACN,2018,114069,6.46,0.1225,181.64,0.2033,28.1,41.7,10365,2.38,15.02
ACN,2017,89561,5.56,0.096,144.45,0.1477,26.0,42.4,8949,2.99,25.74
ACN,2016,96272,6.58,0.1541,154.04,0.1501,23.41,60.0,7555,3.52,-6.22
ACN,2015,77663,4.87,0.1464,123.86,0.1504,25.43,51.9,6134,4.17,24.36
ACN,2014,65847,4.64,0.146,103.86,0.1434,22.39,54.6,5732,5.24,19.26
ACN,2013,57773,5.08,0.1977,89.43,0.1083,17.6,64.8,4960,4.13,16.13
ACN,2012,39104,3.97,0.209,60.81,0.0597,15.31,62.0,4146,4.33,47.06
PEP,2024,228595,6.59,0.1468,166.13,0.0633,25.45,50.4,18503,3.32,
